data-message-id,message-text,link_bet,Local
4868,Bom dia tropa!!61609:56,,
4869,"Atentos, Odd mínima 1.90061309:56",,
4870, mínima 1.90062609:56,https://www.bet365.com/#/IP/EV15995223952C1,
4871,"Canto, aborta estratégia61509:57",,
4872,"Atentos, Odd mínima 2.00060909:59",,
4873, mínima 2.00Red618edited 10:00,https://www.bet365.com/#/IP/EV15995224142C1,cantos/imagens\ec91dcc499334266a3a791d19f7512f1.jpg
4874,Tropa vou deixa uma pré live pra hoje62310:11,,
4875,1unOdd mínima 1.85Red635edited 10:11,,cantos/imagens\022302d87a2b49bfa44edf152886e807.jpg
4876,"Atentos, Odd mínima 2.0055911:37",,
4877," mínima 1.90+0,80unCASH567edited 11:37",https://www.bet365.com/#/IP/EV15995207082C1,cantos/imagens\ac56910c02af45bcbccd2ce6096a6e0f.jpg
4878,"Peguem, Odd mínima 1.9056511:37",,
4879,"Atentos, Odd mínima 2.00057111:47",,
4880, mínima 2.000Red616edited 11:48,https://www.bet365.com/#/IP/EV15995207082C1,cantos/imagens\a098f6ed928a473c9b21d9bf3e29403e.jpg
4881,"Muitos ataques pelas pontas do FK Kapaz, vamos buscar esses cantos.59911:49",,
4882,Encerrem pagando +0.80un59411:50,,
4883,Cash59511:51,,cantos/imagens\889bbf7b1e1a4a189153ae38cc92b118.jpg
4884,"Atentos, Odd mínima 2.2541414:18",,
4885, mínima 2.2542314:18,https://www.bet365.com/#/IP/EV15995215352C1,cantos/imagens\e777edde01834118b6e4b8dcc51cda17.jpg
4886,Live42514:18,,
4887,"Atentos, Odd mínima 2.00040114:31",,
4888, mínima 2.000Anulado395edited 14:32,https://www.bet365.com/#/IP/EV15995215592C1,cantos/imagens\7af70c4e875a41c1bfc175ca1c266f5a.jpg
4889,"Gol, ficou suspendendo após a Odd mínima bater, aborta38114:37",,
4890,"Atentos, Odd mínima 2.3026915:04",,
4891, mínima 2.3026915:04,https://www.bet365.com/#/IP/EV15995215352C1,cantos/imagens\243b8aad28fc4cd3b0e8eab15b20a1a7.jpg
